"id","candidato_id","titulo","meta","badge","url_video","visible"
"rf001","cepeda","Candidatos atacan a la prensa","Marzo 2026","🚩 Libertad de prensa","https://www.instagram.com/fedecolombiaoficial/reel/DV3zss_jSmT/","si"
"rf002","espriella","Candidatos atacan a la prensa","Marzo 2026","🚩 Libertad de prensa","https://www.instagram.com/fedecolombiaoficial/reel/DV3zss_jSmT/","si"
"rf003","espriella","Populismo punitivo","Marzo 2026","🚩 Debido proceso","https://www.instagram.com/fedecolombiaoficial/reel/DWFbgeJFHGC/","si"
"rf004","cepeda","Cepeda en la cárcel de Itagüí","Abril 2026","🚩 Debido proceso","https://www.instagram.com/fedecolombiaoficial/reel/DXVTu9SATo3/","si"
