"id","nombre","foto_url","partido","logo_partido","formula_vp","educacion","biografia","color_hex","visible"
"cepeda","Iván Cepeda","img/cepeda.webp","Pacto Histórico","img/logo-pacto-historico.webp","Aida Quilcué","Filósofo de la Universidad San Clemente de Ohrid de Bulgaria. Especialización en derecho internacional humanitario en la Universidad Católica de Lyon, Francia.","Senador del Pacto Histórico y miembro de la Comisión Segunda del Senado. Fue elegido como representante por Bogotá en 2010 y en 2014 como senador. Fue facilitador del proceso de paz con las FARC y fue el arquitecto de la política de Paz Total en el Gobierno de Gustavo Petro. En octubre de 2025 ganó la consulta de la izquierda para elegir a su candidato presidencial. La principal apuesta de su programa de gobierno es la profundización del proyecto progresista del Gobierno actual.","#70A9A1","si"
"espriella","Abelardo de la Espriella","img/espriella.webp","Defensores de la Patria","img/logo-defensores-de-la-patria.webp","José Manuel Restrepo","Abogado de la Universidad Sergio Arboleda con posgrados en derecho penal de la Universidad Externado y derecho administrativo de la Universidad del Rosario.","Abogado penalista y empresario. Va por firmas con su movimiento Defensores de la Patria. Es el candidato más a la derecha y ha construido su campaña con un discurso crítico del Gobierno de Gustavo Petro. Propone un gobierno orientado a la defensa de la empresa privada y de valores conservadores. Como abogado, ha representado a personas cuestionadas como Álex Saab, señalado de ser el testaferro de Nicolás Maduro, y a David Murcia, fundador de la pirámide DMG.","#F49D6E","si"
"valencia","Paloma Valencia","img/valencia.webp","Centro Democrático","img/logo-centro-democratico.webp","Juan Daniel Oviedo","Abogada y filósofa de la Universidad de Los Andes con una especialización en ciencias económicas de esa misma universidad y una maestría en escritura creativa de la Universidad de Nueva York.","Senadora del Centro Democrático desde 2014. Es una de las principales opositoras del Gobierno de Gustavo Petro. Considera al expresidente Álvaro Uribe como su mentor. Sus propuestas de gobierno se alinean con la visión de país que ha promovido su partido, con un Estado pequeño y énfasis en la seguridad.","#2F6FCC","si"
"fajardo","Sergio Fajardo","img/fajardo.webp","Dignidad y Compromiso","img/logo-dignidad-compromiso.webp","Edna Bonilla","Matemático de la Universidad de Los Andes, magíster y doctor en Matemáticas de la Universidad de Wisconsin-Madison.","Matemático, profesor e investigador. Fue alcalde de Medellín entre 2004 y 2007 y gobernador de Antioquia entre 2012 y 2015. Esta es la cuarta vez que se lanza a la presidencia. Su campaña se enfoca en ser una alternativa de centro frente a los extremos y su programa propone cambiar el rumbo del país mediante el ""poder de la decencia"" y el rigor técnico para recuperar el orden institucional, la seguridad y la estabilidad económica.","#8E44AD","si"
"lopez","Claudia López","img/lopez.webp","Imparables","img/logo-imparables.webp","Leonardo Huerta","Profesional en finanzas, gobierno y relaciones internacionales de la Universidad Externado con maestría en administración pública de la Universidad de Columbia y doctorado en ciencia política de la Universidad Northwestern.","Fue senadora de Alianza Verde entre 2014 y 2016 y luego alcaldesa de Bogotá entre 2020 y 2023. Se ha presentado como una opción de centro con una campaña enfocada en seguridad y gobernabilidad territorial, justicia social y desarrollo regional, los tres ejes de su programa de gobierno. ","#3EB489","si"
